Invoice,Month,Category,Revenue,Quantity,Discount,Profit
1231,Mar,Grocery,33699,7,9,13236
1232,Feb,Sports,78686,29,1,19333
1233,May,Clothing,72661,8,29,15451
1234,Dec,Electronics,49247,1,26,18301
1235,Oct,Sports,21748,3,22,11433
1236,Jun,Sports,9621,24,12,16525
1237,Jul,Electronics,20034,23,12,1089
1238,Apr,Clothing,10126,8,17,19093
1239,Jul,Furniture,10122,37,2,11361
1240,Nov,Sports,23030,3,26,17369
1241,Aug,Electronics,60658,33,6,4041
1242,Nov,Grocery,43638,28,13,1105
1243,Jan,Electronics,72067,8,19,10078
1244,Jun,Grocery,39674,34,28,19279
1245,Aug,Clothing,40854,35,29,7090
1246,May,Furniture,51271,32,16,7082
1247,Apr,Electronics,78688,24,28,18018
1248,Feb,Sports,43518,14,29,2925
1249,Jun,Clothing,15267,32,20,19440
1250,Jun,Electronics,6062,16,11,7917
1251,Nov,Sports,55448,4,24,1552
1252,Jan,Electronics,11229,37,15,4911
1253,Sep,Grocery,61793,21,23,4389
1254,Dec,Electronics,52915,14,11,14629
1255,Nov,Electronics,9632,31,14,3430
1256,Jun,Electronics,8596,18,24,1458
1257,Mar,Clothing,11168,7,9,14395
1258,Apr,Electronics,12561,10,29,1207
1259,Dec,Sports,78794,7,24,1899
1260,Nov,Grocery,31734,33,30,12653
1261,Apr,Grocery,11371,23,6,17405
1262,Mar,Electronics,31069,21,19,9601
1263,Oct,Clothing,17910,19,4,1894
1264,Mar,Clothing,78479,19,0,1514
1265,Mar,Sports,28275,36,29,5109
1266,Apr,Electronics,77274,29,16,14258
1267,Jul,Grocery,65004,18,2,16313
1268,Apr,Clothing,67981,2,12,16349
1269,Sep,Electronics,59553,1,13,8179
1270,Jan,Clothing,53447,5,23,11326
1271,Aug,Clothing,39529,20,29,12787
1272,Jul,Grocery,22260,11,17,2560
1273,Feb,Furniture,8812,2,3,14612
1274,Aug,Sports,33024,3,17,18650
1275,Jan,Sports,63656,23,29,5780
1276,Nov,Grocery,32285,12,4,19311
1277,Dec,Clothing,6605,20,24,12894
1278,Sep,Electronics,76158,5,15,3356
1279,Sep,Clothing,77303,37,0,5790
1280,Feb,Grocery,32139,38,20,17690
1281,Jul,Sports,61138,30,13,11181
1282,Oct,Clothing,18918,9,14,8057
1283,Mar,Sports,32446,34,8,17082
1284,Jul,Electronics,18046,35,14,1661
1285,Dec,Sports,29818,22,16,5644
1286,Oct,Sports,9324,24,24,16711
1287,Sep,Furniture,14111,17,23,3920
1288,Apr,Furniture,43110,10,3,17002
1289,Dec,Furniture,21389,30,11,15025
1290,Jan,Sports,46427,23,26,9946
1291,Feb,Grocery,33746,32,25,13732
1292,Jan,Sports,5117,17,4,7236
1293,Dec,Grocery,18234,17,28,17309
1294,May,Grocery,58441,14,4,14518
1295,May,Furniture,5846,9,10,1352
1296,Nov,Clothing,15954,2,27,8005
1297,Jul,Electronics,51514,25,5,15036
1298,Sep,Furniture,11469,39,6,17542
1299,Sep,Furniture,35105,9,23,1956
1300,Mar,Clothing,47101,22,30,3071
